file_path,class_label,expected_text,transcription,wer,cer,word_count,char_count
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_computer_kitchen_AOL.wav,28,kapcsold ki a számítógépet a konyhában , tartjolt ki a számítrépek apujából ,0.6666666666666666,0.42105263157894735,6,33
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_computer_kitchen_LAO.wav,28,a konyhában kapcsold ki a számítgépet , a qh ban csacsolt ki a szelvetképet ,0.6666666666666666,0.3783783783783784,6,32
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_computer_livingroom_AOL.wav,28,kapcsold ki a számtígépet a nagyszobában , kapcsolt ki a számúti gépet a nagyszomában ,0.6666666666666666,0.125,6,35
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_computer_livingroom_LAO.wav,28,a nagycobában kapcsold ki a számítógépet, annál továbbad kapcsolt ki a számvető ipet ,0.8333333333333334,0.35,6,35
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_computer_room_AOL.wav,28,kapcsold ki a számítgépet a szobában , csapcsolt ki el számít képet a szobában ,0.6666666666666666,0.19444444444444445,6,31
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_computer_room_LAXO.wav,28,a szobában kapcsold ki a számítgép számítógépet , azonban már nagy kapcsos kiasztály vagy számítógépet ,0.8571428571428571,0.5106382978723404,7,41
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_computer_smallroom_AOL.wav,28,kapcsold ki a számítógépet a kisszobában , tartott ilyen szállatőgépet a kiszobában ,0.8333333333333334,0.4,6,35
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_computer_smallroom_LAO.wav,28,a kisszobában kapcsold ki a számítógépet , aki szomában kartsott ki a számát a végében ,1.0,0.375,6,35
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_curtain_kitchen_AOL.wav,28,húzd szét a függönt a konyhában , úsz széltel függött a konyhából ,0.8333333333333334,0.2903225806451613,6,26
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_curtain_kitchen_LAO.wav,28,a konyhában húzd szét a függönt , a konyhában puszt szét a függöt ,0.3333333333333333,0.16129032258064516,6,26
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_curtain_livingroom_AOL.wav,28,húzd szét a függönt a nagyszobában , pózzi etterfüggönt mert nem hát szobában ,1.0,0.6176470588235294,6,29
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_curtain_livingroom_LAO.wav,28,a nagyszobában húzd szét a függönt , a názo bárban vószt érte a függönt ,0.6666666666666666,0.4117647058823529,6,29
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_curtain_room_AOL.wav,28,húzd szét a függönt a szobában , húzsz érte a függőn állszobában ,0.8333333333333334,0.3333333333333333,6,25
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_curtain_room_LAO.wav,28,a szobában húzd szét a függönt , a szobában úszét a függött ,0.5,0.16666666666666666,6,25
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_curtain_smallroom_AOL.wav,28,húzd szét a függönt a kisszobában , hozta egy tafűköt a kis szobában ,1.0,0.42424242424242425,6,28
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_curtain_smallroom_LAO.wav,28,a kisszobában húzd szét a függönt , a kis szobában hozta egy tafütöt ,0.8333333333333334,0.3939393939393939,6,28
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_dishwasher_kitchen_LAO.wav,28,a konyhában állícs a mosogatógépet harminc fokra , a konyhában állít a mosgatógépát hajn mint foglal ,0.7142857142857143,0.22916666666666666,7,42
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_bathroom_AOL.wav,28,nyiss ki az ajtót a fürdőszobában , nisztrát zártott a földről szobámból ,1.0,0.6060606060606061,6,28
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_bathroom_LAO.wav,28,a fürdőszobában nyiss ki az ajtót , a földdelszobában is kezáltott ,0.8333333333333334,0.48484848484848486,6,28
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_corridor_AOL.wav,28,nyiss ki az ajtót a folyosón , nézskelzátot ápfolyászóan ,1.0,0.5714285714285714,6,23
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_corridor_LAO.wav,28,a folyosón nyiss ki az ajtót , a folyosóon is piázált ott ,0.8333333333333334,0.4642857142857143,6,23
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_kitchen_AOL.wav,28,nyiss ki az ajtót a konyhában , nyiszke az átot a konyhába ,0.6666666666666666,0.2413793103448276,6,24
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_kitchen_LAO.wav,28,a konyhában nyiss ki az ajtót , a konyhában is kiazaltott ,0.6666666666666666,0.27586206896551724,6,24
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_livingroom_AOL.wav,28,nyissd ki az ajtót a nagyszobában , nyisd ki az átot a nátszobában ,0.5,0.21212121212121213,6,28
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_livingroom_LAO.wav,28,a nagyszobában nyiss ki az ajtót , annál továbbant nyisd ki az átot ,0.6666666666666666,0.40625,6,27
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_room_AOL.wav,28,nyiss ki az ajtót a szobában , és kiazáltott a szobában ,0.6666666666666666,0.35714285714285715,6,23
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_room_LAO.wav,28,a szobában nyiss ki az ajtót , a szobában nyisd ki a zátót ,0.5,0.14285714285714285,6,23
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_smallroom_AOL.wav,28,nyics ki az ajtót a kisszobában , nincs ki az átad aki szememben ,0.6666666666666666,0.41935483870967744,6,26
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_smallroom_LAO.wav,28,a kisszobában nyiss ki az ajtót , a kis szobában nyisd ki az átot ,0.6666666666666666,0.16129032258064516,6,26
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_fan_kitchen_AOL.wav,28,kapcsold ki a ventillátort a konyhában , kapcsolt ki a ventilátort a konyhában ,0.3333333333333333,0.05263157894736842,6,33
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_fan_kitchen_LAO.wav,28,a konyhában kapcsold ki a ventillátor , a konyhában kapcsolt ki a vertilátort ,0.3333333333333333,0.10810810810810811,6,32
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_fan_livingroom_AOL.wav,28,kapcsold ki a ventillátort a nagyszobában , tartsod ki a ventilátort annak szobámad ,0.6666666666666666,0.24390243902439024,6,36
