file_path,class_label,expected_text,transcription,wer,cer,word_count,char_count
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_computer_livingroom_LAO.wav,25,a nagyszobába kapcsold ki a számítógépet,a negytóbbanabcsol ki esze giénpent,0.6666666666666666,0.475,6,35
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_computer_livingroom_OAL.wav,25,a számítógépet kapcsold ki a nagycobában,a hmtógépeabcsol ki na nem tudom bán,1.0,0.475,6,35
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_computer_room_ALO.wav,25,kapcsold ki a szobában a számítógépet,kapcsold ki atolhámanméltóg bent,0.6666666666666666,0.4594594594594595,6,32
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_computer_room_LAO.wav,25,a szobában kapcsold ki a számítógépet,ban klámptszeénógépen,1.0,0.6486486486486487,6,32
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_computer_smallroom_AOL.wav,25,kapcsold ki a számítógépet a kisszobában,klápről kiemmiintógébent kitmámán,1.0,0.625,6,35
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_computer_smallroom_LAO.wav,25,a kisszobában kapcsold ki a számítógépet,a küszőbámmanámböld ki a eszthelmuógében,0.5,0.525,6,35
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_bathroom_AOL.wav,25,húzzuk szét a függönyt a fürdőszobában,onszténfülméná főnnőtámán,1.0,0.7105263157894737,6,33
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_bathroom_LAO.wav,25,a fürdőszobában huzzunk szét a függöny,a fő nőererámánóol izé én államfő,0.8333333333333334,0.7368421052631579,6,33
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_corridor_AOL.wav,25,huzzunk szét a függöny a folyosón,duszénpőénoli,1.0,0.7878787878787878,6,28
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_corridor_LAO.wav,25,a folyosón huzzunk szén a függön,a proiszóongiszti áll ilyen,0.8333333333333334,0.75,6,27
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_kitchen_AOL.wav,25,széthüzzuk a függönyt a konyhában,ttúunkűnoban,1.0,0.7575757575757576,5,29
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_kitchen_LAO.wav,25,a konyhában széthunzuk a függöny,a konyhában eszé túuduáőmej,0.6,0.5,5,28
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_livingroom_AOL.wav,25,huzzunk szén a függön a nagyszobában,voltunk szénáfülműnáán,1.0,0.6388888888888888,6,31
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_livingroom_LAO.wav,25,a nagyszobában huzzunk szén a függöny,na ettől nem m én állandű,1.0,0.8108108108108109,6,32
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_room_AOL.wav,25,huzzuk szét a függönyt a szobában,lonztetápgámán,1.0,0.8484848484848485,6,28
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_room_LAO.wav,25,a szobában huzzunk szén a függöny,a ógeszénámg,0.8333333333333334,0.7878787878787878,6,28
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_smallroom_AOL.wav,25,huzzunk szén a függöny a kisszobában,hozunk a énápülűn gé hámán,0.8333333333333334,0.6388888888888888,6,31
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_smallroom_LAO.wav,25,a kisszobában huzzunk szét a függöny,készül mámám,1.0,0.8888888888888888,6,31
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_door_bathroom_AOL.wav,25,nyissuk ki az ajtót a fürdőszobában,sói az altonfűnnőteron helman,0.8333333333333334,0.7428571428571429,6,30
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_door_bathroom_LAO.wav,25,a fürdőszobában nyissuk ki az ajtón,a fő művésztől mán és ki az a től,1.0,0.6,6,30
